Id,SalePrice
1461,119410.99945681801
1462,159259.1854970216
1463,162436.77493936365
1464,170049.5530949351
1465,215667.09421663583
1466,167124.40600176767
1467,159012.31818827218
1468,159256.52204675454
1469,201988.31877375572
1470,116464.43344409257
1471,191809.41648949028
1472,99022.932284963
1473,96459.42474423825
1474,150738.0387715849
1475,121424.14734729762
1476,351493.35768857016
1477,278115.19771753147
1478,313016.1996926133
1479,290382.3679592401
1480,441312.0062586056
1481,324586.7969431946
1482,227641.8683451216
1483,177105.84670720514
1484,166403.27509431564
1485,184360.0291252787
1486,206670.61944092985
1487,333606.5847878242
1488,232488.97779866046
1489,217368.67715231449
1490,222246.67798945328
1491,204189.167234068
1492,97369.59572389712
1493,198245.2239890107
1494,298843.73417688615
1495,284490.8711670351
1496,224876.75045730663
1497,173469.78436217248
1498,157611.9475513924
1499,155879.8948970548
1500,148905.1052030259
1501,195156.07706605882
1502,142430.71089971485
1503,255783.46774837555
1504,238089.0655793908
1505,221370.36891195117
1506,196174.94137829007
1507,242451.22426095454
1508,199202.8267302342
1509,145362.98444277898
1510,148266.6855542249
1511,149271.20379429613
1512,177800.53183394286
1513,147356.89080876586
1514,162147.65748472838
1515,191677.9177493968
1516,163738.72301104147
1517,162656.63632982338
1518,143119.2228245507
1519,218614.33178380216
1520,132472.0150161885
1521,123601.79616368687
1522,189018.22451785102
1523,104546.63155480243
1524,104683.49662109287
1525,108681.53423819969
1526,120425.15895182101
1527,96709.00345054959
1528,126925.8201486384
1529,131533.0325633283
1530,186916.4288391269
1531,149537.21560360264
1532,101354.22573505317
1533,173926.7352752424
1534,100362.55971864783
1535,134749.23331663522
1536,104485.71450083399
1537,63011.902045782655
1538,163502.555457752
1539,206500.44722953523
1540,121103.39390173194
1541,134287.6508238463
1542,145350.11523474875
1543,193674.6114070764
1544,93532.82011041652
1545,120685.80600384118
1546,145549.29722910761
1547,155989.57117663248
1548,135097.04893140373
1549,118363.57029905845
1550,145939.56998848962
1551,117412.57748110851
1552,144826.6739175635
1553,142474.50186840296
1554,112835.70144227019
1555,173743.7253651833
1556,111058.93722580856
1557,93832.32874845537
1558,88860.07284192584
1559,87744.75047059015
1560,143353.6932306371
1561,136619.18658481506
1562,140602.82712389136
1563,123655.86515975403
1564,157453.31934573344
1565,141019.13392246762
1566,237706.07614175367
1567,68399.8350655679
1568,242812.18482523406
1569,127395.23308586812
1570,145601.32232193
1571,114535.73451657656
1572,149880.25434833474
1573,261830.07674517902
1574,150127.45289991863
1575,223458.11958162693
1576,189899.08680752193
1577,186314.33936982954
1578,130194.56543861615
1579,130941.11293881384
1580,179356.52802873234
1581,140668.84220087147
1582,128648.34552098977
1583,272049.4163251242
1584,226895.22079916153
1585,137005.36931479792
1586,25470.450553392933
1587,93871.51287200712
1588,155492.75391769002
1589,86284.44166688902
1590,145027.08744983433
1591,104246.35726496618
1592,111688.94345430039
1593,117538.63110799994
1594,137594.83232732254
1595,130369.39241250695
1596,242655.4634486987
1597,189800.25920197408
1598,207546.32553138596
1599,199950.84518287613
1600,196365.54534583562
1601,39122.603559536394
1602,119936.91583481574
1603,60947.79283353158
1604,286203.51534190367
1605,241486.89698474202
1606,163160.47440348627
1607,168341.9717291852
1608,222820.934596923
1609,197774.51271460074
1610,151388.9888926181
1611,151642.69355007753
1612,189615.04558792955
1613,165740.78691280234
1614,129509.12817579496
1615,67430.5852744075
1616,67430.5852744075
1617,69457.00645474652
1618,107657.8274836649
1619,139013.4351559793
1620,193946.3996525593
1621,133089.4079994159
1622,149550.17941500968
1623,275345.593308612
1624,229218.7626572734
1625,114616.05791081314
1626,188406.71898221684
1627,171883.0962251807
1628,266042.97568294604
1629,157640.52098938648
1630,325052.2202319533
1631,238852.05795357586
1632,249348.75821059837
1633,163873.49437733096
1634,187590.13910960584
1635,178804.57956153803
1636,153619.7264227799
1637,180919.7848564422
1638,201571.16458314826
1639,163332.2819139157
1640,231794.4679293321
1641,169262.92756707512
1642,244829.28862771177
1643,238552.5414709474
1644,225474.15110573094
1645,188612.75439873646
1646,161618.44930242258
1647,156601.51469343985
1648,129404.04817562095
1649,136805.28691551564
1650,111802.19111518833
1651,103917.14500360333
1652,108431.44999021204
1653,106607.26728244187
1654,144786.43074455886
1655,151083.37307810425
1656,146171.30861584464
1657,152799.37854485022
1658,159655.55888672866
1659,119407.44839123206
1660,147017.25469098744
1661,407219.49717057514
1662,346821.59780182585
1663,365150.0733015074
1664,436876.23413578165
1665,310363.07481416676
1666,324694.9998185338
1667,359248.93565839663
1668,338482.93864390545
1669,311094.12262266496
1670,337483.2936006369
1671,283332.4350647233
1672,385712.7895105246
1673,311178.5252947962
1674,273777.2293656237
1675,218175.14488637494
1676,225616.9202981741
1677,220390.04899927948
1678,433235.06018063606
1679,363127.987628009
1680,323992.93454505666
1681,267767.5025127522
1682,304817.79303723207
1683,212237.66859944374
1684,185195.54057432557
1685,192825.6225993304
1686,174070.1547978045
1687,181882.2942487534
1688,203358.77715769742
