,Id,SalePrice
0,1461,119386.56323729975
1,1462,159219.07794615783
2,1463,161943.72346917665
3,1464,169438.3367033661
4,1465,215790.2340816531
5,1466,166835.00244678138
6,1467,158940.92176272487
7,1468,158777.81584365925
8,1469,202412.58181322514
9,1470,116076.0386750547
10,1471,191321.78218640582
11,1472,99077.82685779675
12,1473,96462.64108146107
13,1474,150622.01028995065
14,1475,121974.00659179845
15,1476,351927.97919847793
16,1477,278510.52023430273
17,1478,313392.7405232305
18,1479,290568.02658193535
19,1480,442752.78982104623
20,1481,325251.68717177305
21,1482,227384.9763005623
22,1483,177011.58172490806
23,1484,166317.86266620425
24,1485,184080.49042005328
25,1486,206263.40192378216
26,1487,333692.17007427954
27,1488,232198.82247516306
28,1489,217501.64003158783
29,1490,222349.28001797738
30,1491,204130.39734664754
31,1492,97405.75290650541
32,1493,198255.47043391978
33,1494,299048.3054735022
34,1495,284549.96639005415
35,1496,224903.2980182767
36,1497,173069.37801901554
37,1498,156994.55912683244
38,1499,155268.9726876249
39,1500,148039.10459588503
40,1501,194883.75959133136
41,1502,141402.07267921392
42,1503,255990.61509524196
43,1504,238358.59890960483
44,1505,221620.21602299187
45,1506,196206.90693165344
46,1507,242924.85240600357
47,1508,198878.06350965888
48,1509,145363.12966339316
49,1510,148003.29524379288
50,1511,148903.39095687144
51,1512,177931.9347811716
52,1513,148146.09922040463
53,1514,161817.45404037877
54,1515,192282.0457374272
55,1516,163566.90033708955
56,1517,162573.839788946
57,1518,142756.92733420013
58,1519,218744.00554605023
59,1520,132049.00361191723
60,1521,123206.60724774399
61,1522,189307.47441818911
62,1523,104261.26377802172
63,1524,104963.5348383982
64,1525,108635.68914102152
65,1526,120480.43520159225
66,1527,96535.75749140594
67,1528,127015.15721971437
68,1529,131611.0630447987
69,1530,186948.24831915303
70,1531,148994.58395751327
71,1532,101201.52901607487
72,1533,174370.27422130376
73,1534,99777.59282226056
74,1535,134541.6459814731
75,1536,104138.786152318
76,1537,62158.659758105976
77,1538,163521.77690693628
78,1539,207359.8347964565
79,1540,121667.0485691646
80,1541,134310.89556515773
81,1542,145972.3415685348
82,1543,193853.080227935
83,1544,93533.85450039178
84,1545,120779.97013014759
85,1546,145675.57945858056
86,1547,156108.31163243932
87,1548,135704.4383010383
88,1549,118281.93477328026
89,1550,145931.03394456554
90,1551,117382.84223752838
91,1552,145076.35737709832
92,1553,142314.94065305544
93,1554,112506.50290714839
94,1555,173690.70110108843
95,1556,110479.80846695892
96,1557,93454.74638543278
97,1558,88436.11019253216
98,1559,87611.83258364088
99,1560,143098.51897686816
100,1561,136681.51482271167
101,1562,140505.7423356659
102,1563,123654.08282437782
103,1564,157039.30253841443
104,1565,140787.5144637916
105,1566,237789.44992921167
106,1567,68083.17913489325
107,1568,242632.48535221186
108,1569,126984.55133529387
109,1570,145629.8756802376
110,1571,114435.27617392388
111,1572,150129.61464450439
112,1573,262044.46646434325
113,1574,150582.2740344385
114,1575,223615.6363022201
115,1576,189063.7932176422
116,1577,186013.49403810827
117,1578,129983.58228901017
118,1579,130679.50554123631
119,1580,179054.67008072115
120,1581,140404.96358767187
121,1582,128819.72986164478
122,1583,272119.0473862785
123,1584,226909.09878870743
124,1585,136224.51577186596
125,1586,25241.720251609862
126,1587,94190.12091987007
127,1588,155825.85154799218
128,1589,85974.69668917387
129,1590,145319.27774255796
130,1591,104201.39656672427
131,1592,111571.6011809475
132,1593,117497.38383505045
133,1594,138061.60794591764
134,1595,130157.01772471948
135,1596,242898.0190709385
136,1597,189831.217941359
137,1598,207988.78335748982
138,1599,200785.59715639602
139,1600,197368.17667446163
140,1601,38607.22785531156
141,1602,119948.11731875472
142,1603,60827.99508209838
143,1604,286405.1134448608
144,1605,241747.4208783984
145,1606,163178.57839680274
146,1607,168342.2499351074
147,1608,222149.9968090247
148,1609,197584.66618366225
149,1610,150723.9086368171
150,1611,151489.45974201316
151,1612,189856.83098226733
152,1613,165546.20461197395
153,1614,129952.64042740714
154,1615,67386.86193736458
155,1616,67386.86193736458
156,1617,69170.0265010284
157,1618,107762.87924000989
158,1619,139034.96318391178
159,1620,193678.44054155494
160,1621,132929.43926171772
161,1622,149588.9832057403
162,1623,276033.57430435263
163,1624,229023.22566473435
164,1625,114505.34108185947
165,1626,188259.2801653967
166,1627,171494.69475213977
167,1628,266406.41428789985
168,1629,157619.79912620457
169,1630,326206.0899486444
170,1631,239473.66828569188
171,1632,249895.44574725913
172,1633,163592.7425773317
173,1634,187238.46342781244
174,1635,178404.70704335705
175,1636,153285.22320449658
176,1637,180705.73364237286
177,1638,201624.6704395123
178,1639,163037.33872461022
179,1640,232253.06898428107
180,1641,169046.7382180571
181,1642,245187.99603899583
182,1643,238879.90089350805
183,1644,225778.7199285825
184,1645,188481.53998767558
185,1646,160903.3910303888
186,1647,156468.19506053405
187,1648,129325.78325239575
188,1649,136614.80432212848
189,1650,111726.08495196336
190,1651,103808.82369412624
191,1652,108509.76413075713
192,1653,106662.4363178511
193,1654,144879.7816871209
194,1655,151463.67055950762
195,1656,146081.9393220469
196,1657,153024.19090669396
197,1658,159313.38292027975
198,1659,119969.68394083815
199,1660,146020.1814998755
200,1661,407930.7204648063
201,1662,348063.8253040216
202,1663,365846.06504011905
203,1664,438386.6056257378
204,1665,310755.8675133119
205,1666,325106.3492264302
206,1667,360010.8407539
207,1668,338727.03200014785
208,1669,311520.6070292666
209,1670,337886.2566194025
210,1671,283369.81725115335
211,1672,386662.0140519382
212,1673,311546.7791134209
213,1674,273965.5759673512
214,1675,217736.37852132562
215,1676,225113.06888749625
216,1677,219911.2570768951
217,1678,434511.3522165796
218,1679,363972.66887716576
219,1680,323972.0589316983
220,1681,267513.5182586862
221,1682,305314.654257175
222,1683,211855.39038664114
223,1684,184822.27437982374
224,1685,192445.59265214452
225,1686,173783.125345321
